LINK,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=e888fc3f92c0ea48,"Mobile App (iOS, Android)",리테일-테크회사 서울 강남구,,자격요건 ] - 나이 : 20대 초반~30대 중반 - 경력 : 1년 이상 - Swift/Objective-C 나 Java 기반의 프로젝트 개발 경험 - 안드로이드나 iOS 중에서 네이티브 모바일 앱 개발 경력 - 팀 워크 및...
https://kr.indeed.com/viewjob?jk=debad29522470579,Security Solution SW엔지니어,STB등 디바이스 개발 및 공급 성남 분당구,,"경력 3~10년 사원~과장급 -Skill : Programming language - C, C++, JAVA -외국어 : 고객 E-mail communication 문제 없는 수준, 고객 meeting 및 conference..."
https://kr.indeed.com/viewjob?jk=b23e63187a91d753,Android 개발,"모바일식권, 기업 식대관리 솔루션 서울 강남구",,"및 유지보수 [ 자격요건 ] - 경력 : 7년 이상 - 전공 : 컴퓨터 관련 전공자 - Android, Java 능통자 - 모바일 UI / UX에 대한 높은 이해도 - Android 최신 트랜드를 이용한 개발 경험 - 개발..."
https://kr.indeed.com/viewjob?jk=df7db7aea335e814,Software Engineer - Mobile 리더,리테일-테크회사 서울 강남구,,"및 최적화 경험 (예시 : Xcode profiling tool 등) - 안드로이드의 경우, Kotlin/ Java 기반의 프로젝트 개발 경험 혹은 빠르게 습득 할수 있는 능력 - iOS의 경우, Swift/Objective..."
https://kr.indeed.com/viewjob?jk=ea5d26c45703b820,네이버웹툰 빅데이터 플랫폼 개발자(경력),네이버 대한민국,,"처리 Job 자동화 • 자격요건 - 대용량 데이터 설계에 대한 기본 지식과 모델링 경험이 있으신 분. - Java/Javascript/Python 개발경험과 프로그래밍 기본 지식을 가지신 분 - API 서버, 웹서버 개발과..."
https://kr.indeed.com/viewjob?jk=11feb6cafd630339,[TmaxSoft/관리] 전사 정보시스템 설계 및 개발 관리,티맥스소프트 성남 분당구,,"TechNet, 홈페이지등 사내 시스템 관리 및 유지보수 자격요건 개발 3~6년 경력자(신입도 가능) jsp, java 프로그래밍 가능자, Spring 사용경험자 DB 관련 지식 보유자 우대사항 EIS(경영자정보..."
https://kr.indeed.com/viewjob?jk=9c53168f1dda799f,국내 리딩ICT 솔루션기업 블록체인사업개발 담당 포지션 ASAP,국내 리딩ICT 솔루션기업 서울,"연봉 55,000,000원 - 150,000,000원","경력 - 블록체인 영역의 사업수행 혹은 개발 등 실 경험 보유자 우대 - GoLang, Solidity, JAVA, C 등 개발 경험 보유자 우대 - 클라우드 기반 사업수행 및 보안 영역 경험 보유 우대 4) 어학..."
https://kr.indeed.com/viewjob?jk=088e29135443a6db,금융그륩 BSP 시스템 개발 업무,"국내 유명 금융그룹 / 대표 금융특화 기업집단으로서 저축은행, 캐피탈, 대부업 위주 사업 서울 중구",,"금융권 IT실무 (여신, 채권, 할부 등) 개발 경험자 컴퓨터 아키텍쳐 지식을 가진 자 프로그램 언어( JAVA, C 등) 개발 경험자 Framework 환경(Anyframe), UI개발툴(Miflatform)개발 경험자..."
https://kr.indeed.com/viewjob?jk=e539540aa566a5a2,[LINE BIZ PLUS] Global Payment 서버 개발,라인비즈플러스 성남 분당구,,"신기술에 대한 연구 및 적용 [자격요건] - Java 언어에 능숙하고, Java Framework 기반 개발에 익숙한 자 - Javascript... 통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=8c47e8f334705d2e,Algorithm Application Engineer,Garrett Advancing Motion 경기도,,"High level programming skills (Python, R, Matlab, C++ or Java) • Machine Learning Algorithms • Data mining (including data..."
https://kr.indeed.com/viewjob?jk=b7cfa27c729bca29,Back-end 개발 경력자 모집,(주)스프링클라우드 성남 분당구,,"사용 할 수 있는 아키텍쳐 설계 및 운영 자격요건 * 팀 단위 프로젝트 협업 경험 * Python / Java / Scala 중 하나 이상의 언어 사용 능숙 * MySQL 데이터베이스 테이블 설계, 튜닝, 트러블슈팅..."
https://kr.indeed.com/viewjob?jk=18f4efe3b906d998,네이버웹툰 서버 개발자(경력),네이버 대한민국,,플랫폼 개발 - 중국/일본 등 현지 오피스 개발자들과의 기술 교류 및 글로벌 개발환경 경험 • 자격요건 - Java & Spring Framework 기반 웹 서버 개발 경력 3년 이상 또는 그에 준하는 역량을 보유하신 분...
https://kr.indeed.com/viewjob?jk=1e942e6c30774c46,ICT기획팀 (사원-대리급) (Information Communicati...,신한비엔피파리바자산운용 대한민국,,"관련경력 1년 이상 - 우대사항: 서버, 네트워크, DB, 개발 관련 자격증 보유자, 개발 경험자(C, JAVA, xplatform, 프로프레임 등), 외국어 가능자 3. 전형방법 - 서류전형 면접전형(서류전형 합격자에..."
https://kr.indeed.com/viewjob?jk=1a004c722da6cad0,[개발]상품 데이터 백엔드 개발자(정규직),위메프 2.3 대한민국,,"비교/속성을 위한 백오피스 개발 - 상품 매칭/상품 속성 처리/배치 등 데이터 처리 개발 [자격사항] - Java/Spring 서버 개발 경력 3년 이상 - Spring framework, Spring Data JPA 대용..."
https://kr.indeed.com/viewjob?jk=4ebd70ec7e478364,[KSTEC] RPA 시스템 개발 경력사원,지식시스템 성남 분당구,,12년 [기술요구사항] 1. Java Programming 가능자 2... 응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>.NET|인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=b6d1fd9fde0c6433,[개발]여행서비스 백엔드 개발자(정규직),위메프 2.3 대한민국,,"개발 프로그래머 [담당업무] - 항공/숙박(호텔 등)/티켓 관련 여행플랫폼 개발 업무 [자격사항] - Java / Spring 서버 개발 3년 이상 경력자 - Spring framework, Spring Data JPA..."
https://kr.indeed.com/viewjob?jk=055182677c458671,자동제어 프로젝트 개발 및 시운전,오픈컨트롤 경기도 시흥,"연봉 30,000,000원 - 32,000,000원",지원자격 경력 신입·경력 학력 - 성별 무관 기타 담당업무 Java 기반 Ignition SCADA IIoT Software를 이용하여 파이썬 언어로 개발 및 시운전. Intouch HMI/SCADA로 자동제어 분야 프로젝트...
https://kr.indeed.com/viewjob?jk=37542070b1f1557c,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행 성남 분당구,,"다양한 프로그래밍 언어를 사용하여 개발/운영 경험이 있으신 분 (단, Java, Python 중 1개의 언어는 필수) · SQL, NoSQL 기반... 통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프..."
https://kr.indeed.com/viewjob?jk=0184fd84022533a6,Datacenter Engineer,Oracle 3.8 서울,,"scripting ( Java, Perl, Ruby, C#... experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp..."
https://kr.indeed.com/viewjob?jk=b0e9252f0c2cf6ec,[개발]위메프패션 백엔드 개발자(정규직),위메프 2.3 대한민국,,"개발 프로그래머 [담당업무] - 위메프패션 서비스 백엔드 개발 [자격사항] - 백엔드개발 경력 3년 이상 - Java, Node.js, Python, Php, Ruby 중 하나 이상 백엔드 개발 경험이 있으신 분 - NoSql..."
https://kr.indeed.com/viewjob?jk=804805ad412946e0,전산개발 전문인력,KEB하나은행(구.하나은행) 대한민국,,"라. 담당업무 및 경력요건 - 담당업무 : 수탁업무시스템 개발 및 유지보수 ※ 전산개발 환경 : C언어, JAVA, JSP, Miplatform, PL/SQL, VB(Visual Basic), PowerBuilder - 경력..."
https://kr.indeed.com/viewjob?jk=5b0919c33e6c5c49,데이터 서비스 개발자,십일번가 서울 중구,,터넷·IT·통신·모바일·게임>통신·모바일>서비스기획·운영|무역·영업·판매·매장관리>기술영업>IT서비스·웹사이트구축|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL
https://kr.indeed.com/viewjob?jk=d75fde90771aa757,Front 개발 및 퍼블리셔,더케어랩 서울 강남구,"연봉 26,000,000원 - 40,000,000원","사용 경험 - Git을 이용한 형상관리 경험자 • 개발 부문 인프라 - 서버 : Springboot, Java, AWS-ec2:linux - DB : RDS(mysql) / ElastiCache(redis) - 분석..."
https://kr.indeed.com/viewjob?jk=ecb3b8b41a0e7ea1,각 부문 경력 및 인턴사원,에이블씨엔씨 3.5 서울 금천구,,유지보수 - 관련경력 5년 이상 - Java Spring Framework... 업무 시스템 분석 및 컨설팅/구축업체 지원 - 관련경력 8~12년 - Java개발 가능자 - SAP 구축 및 운영 유경험자 - Database 에...
https://kr.indeed.com/viewjob?jk=0bfa88541b18525d,[KSTEC] 최적화 컨설턴트 신입 및 경력사원,지식시스템 성남 분당구,,선물 지급 인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>Visual C++(MFC·ATL)|인터넷·IT·통신·모바일...
https://kr.indeed.com/viewjob?jk=5da21a35c78f92e8,"JAVA, 벡엔드 외 경력 정규직",비링크헬스케어 성남 분당구,,경기도 성남시 분당구 미금일로 90번길 32 웰파크 521호 인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>벡엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷...
https://kr.indeed.com/viewjob?jk=de44729f90fcae6e,AI 개발/Data Scientist/시스템 아키텍쳐/빅데이터엔지니어 경...,신한에이아이 서울 영등포구,,"프로그래밍 언어: Python, Java, R 등 [우대사항] - 관련... 02-2070-8236) 인터넷·IT·통신·모바일·게임>웹프로그래밍> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래밍>PHP |인터넷·IT·통신..."
https://kr.indeed.com/viewjob?jk=21f720e55bab4c8d,카카오톡 서버 개발자,카카오 4.2 성남 판교역,,"양한 앱서버와 DB, 캐시, MQ 등으로 구성된 시스템을 설계하고 주로 Java, Kotlin / Spring 프레임웍을 기반으로 하는 앱서버를 개발... 원자격 우대 사항 ✓ Spring/ Java 혹은 Spring/Kotlin..."
https://kr.indeed.com/viewjob?jk=6ddbad55cbd2cf61,"웹 개발자 - 자바, HTML5 기반 웹 서비스 개발",비컴솔루션 서울 강남구,,"하지 않으셨다면!! 상세 이력서 등록하기 지원양식 커리어 온라인 이력서 전형절차 및 제출서류 전형절차 직무/산업 직무별(직종) 웹프로그래머웹프로그래머, JAVA, HTML 산업별(업종) 솔루션.ASP.소프트웨어 소프트웨어개발"
https://kr.indeed.com/viewjob?jk=3e2a310c9dd0f693,[멜론] 빅데이터 서비스 개발자,카카오 4.2 성남 판교역,,"등)을 활용한 데이터 시각화 서비스 개발 지원자격 Spring Framework 개발 경력 3년 이상 Java 언어 능숙 자료구조, 알고리즘, OS, 네트워크, SQL의 기초 지식 보유 긍정적이고 원활한 커뮤니케이션..."
https://kr.indeed.com/viewjob?jk=b6f59044dc92aed7,직원 공고 (계약직 전산원),국립교통재활병원 양평 양평읍,,실무 경력 2년 이상 [우대사항] * 병원 OCS/EMR 개발 경력자 * 정보처리기사 자격 소지자 * JAVA 언어 개발 경력자 * 국가보훈대상자 우대 2.전형절차 - 1차(서류심사) 2차(면접) 3. 전형일정...
https://kr.indeed.com/viewjob?jk=e36af236652e8e9d,Data Analyst (CRM),Coupang 3.0 서울,,"Experience using a programming language (R, SAS, Python, Java, etc... automation, job scheduling, and statistical analysis..."
https://kr.indeed.com/viewjob?jk=fa839fed02943ef7,"Technical Specialist, Professional Servi...",Google 4.3 서울,,"one or more object-oriented programming language (e.g., Java, Python, etc.). Experience in mobile and web development best..."
https://kr.indeed.com/viewjob?jk=dd116fd9b4c64ff5,플랫포머스 웹 서비스 개발자,플랫포머스 서울 강남구,"연봉 40,000,000원 - 42,000,000원","기재 직무/산업 직무별(직종) 응용프로그래머VisualC, VisualC++, VisualBasic, C, C++, MFC, PowerBuilder, Java, .NET, Tuxedo 산업별(업종) 포털.컨텐츠.커뮤니티 포털"
https://kr.indeed.com/viewjob?jk=55dd3a1ce1248639,System Administrator 2-IT (Datacenter En...,Oracle 3.8 서울,,"scripting ( Java, Perl, Ruby, C#... experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp..."
https://kr.indeed.com/viewjob?jk=b2a06c4fe590ca1e,팟티서비스 웹개발(서버&프론트),아프리카TV 성남 분당구,,프론트) [자격요건] - 팟티서비스 PC/모바일 웹 서비스 개발 및 유지보수 [우대사항] 서버 - JAVA & Spring Framework 기반 웹서비스 개발 3년 이상이신 분 - Linux 플랫폼에서 웹서비스...
https://kr.indeed.com/viewjob?jk=8b5a6cd655ea4d15,웹프로그래머 대리과장급 여의도 국세청 상담센터 상주,HP 파트너로서 H/W 인프라 판매 및 구축 사업과 솔루션 개발 판매 유지보수 업무를 수행... 서울 여의도역,,"대리 or 과장 - 직책 : 팀원 • 수행업무 - 국세청 상담센터 상담 관리 유지보수 - 상담 화면 개발 - JAVA, JSP, 전자정부프레임워크 사용 • 자격요건 - 학력 : 대졸(4년제)/정보통신계열 - 경력 : 4..."
https://kr.indeed.com/viewjob?jk=19c64243dc570601,[개발]검색개발(서버/API) 담당자(정규직),위메프 2.3 대한민국,,자격사항] - Elastic Search/Solr/Lucene등 오픈소스 검색엔진 활용 개발 경험자 - Java/Spring 계열 개발 경험 4년 이상자(검색 개발 1년 이상) - MySQL 등 RDBMS 활용 가능자...
https://kr.indeed.com/viewjob?jk=a078a06da5949091,Solution Architect - Application Transfo...,Dell 4.0 서울,,implementation experience in – building Twelve-Factor You... Java expert... experience and familiarity building modern...
